order,issue_file,title,track,status,type,outcome,depends_on
1,01-lock-topup-domain-language.md,Lock TopUp Domain Language,Product,ready-for-human,HITL,"Team agrees on wallet, digital product, offer, transaction, deposit, API key, and provider terms.",None
2,02-hetzner-server-provisioning.md,Hetzner Server Provisioning,DevOps,ready-for-human,HITL,"A Hetzner VM is ready for Docker deployment.",None
3,03-production-container-setup.md,Production Container Setup,DevOps,ready-for-agent,AFK,"The app has a production-ready container stack shape.",None
4,04-create-wallet-and-deposit-path.md,Create Wallet And Deposit Path,Product,done,AFK,"Admin can fund a user wallet and users can read DZD balances.",01-lock-topup-domain-language.md
5,05-expose-self-service-api-keys.md,Expose Self-Service API Keys,Product,done,AFK,"Users can create, list, and revoke API keys.",01-lock-topup-domain-language.md
6,06-publish-initial-digital-product-catalog.md,Publish Initial Digital Product Catalog,Product,ready-for-agent,AFK,"Mobilis, Djezzy, and Ooredoo prepaid offers are visible.",01-lock-topup-domain-language.md
7,07-production-environment-config.md,Production Environment Config,DevOps,ready-for-human,HITL,"Production/staging secrets and runtime settings are defined.","03-production-container-setup.md;02-hetzner-server-provisioning.md"
8,08-protect-integration-apis-with-apikey-auth-and-rate-limits.md,Protect Integration APIs With ApiKey Auth And Rate Limits,Product,ready-for-agent,AFK,"Integration clients authenticate with API keys and are rate limited.",05-expose-self-service-api-keys.md
9,09-cloudflare-domain-setup.md,Cloudflare Domain Setup,DevOps,ready-for-human,HITL,"The API hostname points to the Hetzner server through Cloudflare.",02-hetzner-server-provisioning.md
10,10-reverse-proxy-and-tls.md,Reverse Proxy And TLS,DevOps,ready-for-agent,AFK,"The public API domain serves HTTPS traffic through a reverse proxy.","07-production-environment-config.md;09-cloudflare-domain-setup.md"
11,11-create-pending-mobile-topup-transaction.md,Create Pending Mobile Topup Transaction,Product,ready-for-agent,AFK,"Clients can submit transactions and reserve wallet funds.","04-create-wallet-and-deposit-path.md;08-protect-integration-apis-with-apikey-auth-and-rate-limits.md;06-publish-initial-digital-product-catalog.md"
12,12-read-transactions-for-reconciliation.md,Read Transactions For Reconciliation,Product,ready-for-agent,AFK,"Clients can check transaction status by ID or external_id.",11-create-pending-mobile-topup-transaction.md
13,13-finalize-transactions-through-sandbox-provider.md,Finalize Transactions Through Sandbox Provider,Product,ready-for-agent,AFK,"Sandbox fulfillment completes or fails transactions and finalizes wallet balances.",11-create-pending-mobile-topup-transaction.md
14,14-standardize-integration-errors-and-request-ids.md,Standardize Integration Errors And Request IDs,Product,ready-for-agent,AFK,"Clients receive stable error codes and request IDs.","08-protect-integration-apis-with-apikey-auth-and-rate-limits.md;11-create-pending-mobile-topup-transaction.md;12-read-transactions-for-reconciliation.md;13-finalize-transactions-through-sandbox-provider.md"
15,15-deployment-pipeline.md,Deployment Pipeline,DevOps,ready-for-human,HITL,"Main branch can build, test, and deploy to Hetzner.","03-production-container-setup.md;02-hetzner-server-provisioning.md;07-production-environment-config.md;10-reverse-proxy-and-tls.md;09-cloudflare-domain-setup.md"
16,16-backups-and-restore-check.md,Backups And Restore Check,DevOps,ready-for-agent,AFK,"Database and critical config backups can be restored.","02-hetzner-server-provisioning.md;07-production-environment-config.md"
17,17-monitoring-and-logs.md,Monitoring And Logs,DevOps,ready-for-agent,AFK,"Uptime, logs, health, disk, worker, and backup status are visible.","15-deployment-pipeline.md;16-backups-and-restore-check.md"
18,18-document-and-prove-v1-integration-contract.md,Document And Prove V1 Integration Contract,Product,ready-for-agent,AFK,"API docs and integration tests prove the contract.","04-create-wallet-and-deposit-path.md;05-expose-self-service-api-keys.md;08-protect-integration-apis-with-apikey-auth-and-rate-limits.md;06-publish-initial-digital-product-catalog.md;11-create-pending-mobile-topup-transaction.md;12-read-transactions-for-reconciliation.md;13-finalize-transactions-through-sandbox-provider.md;14-standardize-integration-errors-and-request-ids.md"
19,19-staging-smoke-test.md,Staging Smoke Test,Release,ready-for-human,HITL,"Product owner verifies the deployed end-to-end flow.","18-document-and-prove-v1-integration-contract.md;15-deployment-pipeline.md;17-monitoring-and-logs.md"
